family,strategy,policy,sample_months,months_with_bets,target_reached_months,all_sample_months_reached,funding_failure_months,lowest_month_net,total_net,max_principal_loss,max_drawdown
predictions,fixed:number:17:pc28_high_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,142.0
predictions,fixed:number:17:pc28_high_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,141.0
predictions,fixed:number:17:pc28_netdisk_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,142.0
predictions,fixed:number:17:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,141.0
predictions,fixed:number:18:pc28_high_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,183.0
predictions,fixed:number:18:pc28_high_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,182.0
predictions,fixed:number:18:pc28_netdisk_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,183.0
predictions,fixed:number:18:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,182.0
predictions,fixed:number:19:pc28_high_regular,target100_bankroll,3,3,1,False,2,-100.0,-87.0,100.0,157.0
predictions,fixed:number:19:pc28_high_regular,target100_limit99,3,3,1,False,0,-99.0,-85.0,99.0,156.0
predictions,fixed:number:19:pc28_netdisk_regular,target100_bankroll,3,3,1,False,2,-100.0,-96.0,100.0,151.0
predictions,fixed:number:19:pc28_netdisk_regular,target100_limit99,3,3,1,False,0,-99.0,-94.0,99.0,150.0
predictions,fixed:number:1:pc28_high_regular,target100_bankroll,3,3,1,False,2,-100.0,3.0,100.0,100.0
predictions,fixed:number:1:pc28_high_regular,target100_limit99,3,3,1,False,0,-99.0,5.0,99.0,99.0
predictions,fixed:number:1:pc28_netdisk_regular,target100_bankroll,3,3,1,False,2,-100.0,-17.0,100.0,100.0
predictions,fixed:number:1:pc28_netdisk_regular,target100_limit99,3,3,1,False,0,-99.0,-15.0,99.0,99.0
predictions,fixed:number:20:pc28_high_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,150.0
predictions,fixed:number:20:pc28_high_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,149.0
predictions,fixed:number:20:pc28_netdisk_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,144.0
predictions,fixed:number:20:pc28_netdisk_regular,target100_limit99,3,3,0,False,0,-99.0,-297.0,99.0,143.0
predictions,fixed:number:21:pc28_high_regular,target100_bankroll,3,3,0,False,3,-100.0,-300.0,100.0,185.0
