family,strategy,policy,month,available_bets,bets,net,ending_bankroll,min_bankroll,max_principal_loss,max_drawdown,wins,refunds,losses,stop_reason,last_issue,target_reached,last_bet_time_cn
predictions,fixed:combo:小双:pc28_high_regular,target100_limit99,2026-07,9246,814,101.89,201.89,95.0,5.0,43.1,133,74,607,profit_target,3455475,True,2026-07-11T00:34:00+08:00
predictions,fixed:combo:小双:pc28_high_regular,target100_limit99,2026-08,6358,973,101.48,201.48,75.99,24.01,63.01,156,87,730,profit_target,3464880,True,2026-08-03T09:50:30+08:00
predictions,fixed:combo:小双:pc28_high_regular,target100_limit99,2026-09,2813,1094,-98.8,1.2,1.2,98.8,103.8,140,109,845,loss_limit,3477463,False,2026-09-03T16:54:00+08:00
predictions,fixed:combo:小双:pc28_netdisk_regular,target100_bankroll,2026-07,9246,2561,-99.8,0.2,0.2,99.8,155.4,586,0,1975,insufficient_for_one_unit,3457222,False,2026-07-15T08:40:30+08:00
predictions,fixed:combo:小双:pc28_netdisk_regular,target100_bankroll,2026-08,6358,1554,100.8,200.8,55.4,44.6,50.0,394,0,1160,profit_target,3465461,True,2026-08-04T20:50:00+08:00
predictions,fixed:combo:小双:pc28_netdisk_regular,target100_bankroll,2026-09,2813,2813,43.0,143.0,16.0,84.0,84.0,680,0,2133,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,fixed:combo:小双:pc28_netdisk_regular,target100_limit99,2026-07,9246,2560,-98.8,1.2,1.2,98.8,154.4,586,0,1974,loss_limit,3457221,False,2026-07-15T08:37:00+08:00
predictions,fixed:combo:小双:pc28_netdisk_regular,target100_limit99,2026-08,6358,1554,100.8,200.8,55.4,44.6,50.0,394,0,1160,profit_target,3465461,True,2026-08-04T20:50:00+08:00
predictions,fixed:combo:小双:pc28_netdisk_regular,target100_limit99,2026-09,2813,2813,43.0,143.0,16.0,84.0,84.0,680,0,2133,sample_end,3479182,False,2026-09-07T23:55:30+08:00
predictions,fixed:number:0:pc28_high_regular,target100_bankroll,2026-07,9246,100,-100.0,0.0,0.0,100.0,100.0,0,0,100,bankrupt,3454761,False,2026-07-09T05:49:00+08:00
predictions,fixed:number:0:pc28_high_regular,target100_bankroll,2026-08,6358,100,-100.0,0.0,0.0,100.0,100.0,0,0,100,bankrupt,3464007,False,2026-08-01T05:49:00+08:00
predictions,fixed:number:0:pc28_high_regular,target100_bankroll,2026-09,2813,100,-100.0,0.0,0.0,100.0,100.0,0,0,100,bankrupt,3476469,False,2026-09-01T05:49:00+08:00
predictions,fixed:number:0:pc28_high_regular,target100_limit99,2026-07,9246,99,-99.0,1.0,1.0,99.0,99.0,0,0,99,loss_limit,3454760,False,2026-07-09T05:45:30+08:00
predictions,fixed:number:0:pc28_high_regular,target100_limit99,2026-08,6358,99,-99.0,1.0,1.0,99.0,99.0,0,0,99,loss_limit,3464006,False,2026-08-01T05:45:30+08:00
predictions,fixed:number:0:pc28_high_regular,target100_limit99,2026-09,2813,99,-99.0,1.0,1.0,99.0,99.0,0,0,99,loss_limit,3476468,False,2026-09-01T05:45:30+08:00
predictions,fixed:number:0:pc28_netdisk_regular,target100_bankroll,2026-07,9246,100,-100.0,0.0,0.0,100.0,100.0,0,0,100,bankrupt,3454761,False,2026-07-09T05:49:00+08:00
predictions,fixed:number:0:pc28_netdisk_regular,target100_bankroll,2026-08,6358,100,-100.0,0.0,0.0,100.0,100.0,0,0,100,bankrupt,3464007,False,2026-08-01T05:49:00+08:00
predictions,fixed:number:0:pc28_netdisk_regular,target100_bankroll,2026-09,2813,100,-100.0,0.0,0.0,100.0,100.0,0,0,100,bankrupt,3476469,False,2026-09-01T05:49:00+08:00
predictions,fixed:number:0:pc28_netdisk_regular,target100_limit99,2026-07,9246,99,-99.0,1.0,1.0,99.0,99.0,0,0,99,loss_limit,3454760,False,2026-07-09T05:45:30+08:00
predictions,fixed:number:0:pc28_netdisk_regular,target100_limit99,2026-08,6358,99,-99.0,1.0,1.0,99.0,99.0,0,0,99,loss_limit,3464006,False,2026-08-01T05:45:30+08:00
predictions,fixed:number:0:pc28_netdisk_regular,target100_limit99,2026-09,2813,99,-99.0,1.0,1.0,99.0,99.0,0,0,99,loss_limit,3476468,False,2026-09-01T05:45:30+08:00
predictions,fixed:number:10:pc28_high_regular,target100_bankroll,2026-07,9246,863,103.0,203.0,30.0,70.0,86.0,69,0,794,profit_target,3455524,True,2026-07-11T03:25:30+08:00
predictions,fixed:number:10:pc28_high_regular,target100_bankroll,2026-08,6358,1668,-100.0,0.0,0.0,100.0,147.0,112,0,1556,bankrupt,3465575,False,2026-08-05T03:29:00+08:00
predictions,fixed:number:10:pc28_high_regular,target100_bankroll,2026-09,2813,1444,-100.0,0.0,0.0,100.0,189.0,96,0,1348,bankrupt,3477813,False,2026-09-04T13:52:00+08:00
predictions,fixed:number:10:pc28_high_regular,target100_limit99,2026-07,9246,863,103.0,203.0,30.0,70.0,86.0,69,0,794,profit_target,3455524,True,2026-07-11T03:25:30+08:00
predictions,fixed:number:10:pc28_high_regular,target100_limit99,2026-08,6358,1667,-99.0,1.0,1.0,99.0,146.0,112,0,1555,loss_limit,3465574,False,2026-08-05T03:25:30+08:00
predictions,fixed:number:10:pc28_high_regular,target100_limit99,2026-09,2813,1443,-99.0,1.0,1.0,99.0,188.0,96,0,1347,loss_limit,3477812,False,2026-09-04T13:48:30+08:00
predictions,fixed:number:10:pc28_netdisk_regular,target100_bankroll,2026-07,9246,863,103.0,203.0,30.0,70.0,86.0,69,0,794,profit_target,3455524,True,2026-07-11T03:25:30+08:00
predictions,fixed:number:10:pc28_netdisk_regular,target100_bankroll,2026-08,6358,1668,-100.0,0.0,0.0,100.0,147.0,112,0,1556,bankrupt,3465575,False,2026-08-05T03:29:00+08:00
